eutrophication,temp,repeat,persistence
1.0,273.15,1.0,0.7666666666666667
1.0,273.15,2.0,0.4666666666666667
1.0,273.15,3.0,0.5
1.0,273.15,4.0,0.5333333333333333
1.0,273.15,5.0,0.6333333333333333
1.0,273.15,6.0,0.5
1.0,273.15,7.0,0.5
1.0,273.15,8.0,0.5
1.0,273.15,9.0,0.4
1.0,273.15,10.0,0.5333333333333333
1.0,278.15,1.0,1.0
1.0,278.15,2.0,0.4666666666666667
1.0,278.15,3.0,0.5
1.0,278.15,4.0,0.5333333333333333
1.0,278.15,5.0,0.6333333333333333
1.0,278.15,6.0,0.5
1.0,278.15,7.0,0.4666666666666667
1.0,278.15,8.0,0.5
1.0,278.15,9.0,0.4
1.0,278.15,10.0,0.5333333333333333
1.0,283.15,1.0,0.9666666666666667
1.0,283.15,2.0,0.4666666666666667
1.0,283.15,3.0,0.4666666666666667
1.0,283.15,4.0,0.5
1.0,283.15,5.0,0.6333333333333333
1.0,283.15,6.0,0.43333333333333335
1.0,283.15,7.0,0.4666666666666667
1.0,283.15,8.0,0.5
1.0,283.15,9.0,0.4
1.0,283.15,10.0,0.5666666666666667
1.0,288.15,1.0,0.9666666666666667
1.0,288.15,2.0,0.5
1.0,288.15,3.0,0.4666666666666667
1.0,288.15,4.0,0.5
1.0,288.15,5.0,0.6333333333333333
1.0,288.15,6.0,0.43333333333333335
1.0,288.15,7.0,0.4666666666666667
1.0,288.15,8.0,0.5
1.0,288.15,9.0,0.36666666666666664
1.0,288.15,10.0,0.5666666666666667
1.0,293.15,1.0,0.9666666666666667
1.0,293.15,2.0,0.5
1.0,293.15,3.0,0.4666666666666667
1.0,293.15,4.0,0.5
1.0,293.15,5.0,0.6333333333333333
1.0,293.15,6.0,0.43333333333333335
1.0,293.15,7.0,0.4666666666666667
1.0,293.15,8.0,0.5
1.0,293.15,9.0,0.36666666666666664
1.0,293.15,10.0,0.6
1.0,298.15,1.0,0.9666666666666667
1.0,298.15,2.0,0.5
1.0,298.15,3.0,0.4666666666666667
1.0,298.15,4.0,0.5
1.0,298.15,5.0,0.6333333333333333
1.0,298.15,6.0,0.43333333333333335
1.0,298.15,7.0,0.4666666666666667
1.0,298.15,8.0,0.5
1.0,298.15,9.0,0.36666666666666664
1.0,298.15,10.0,0.6
1.0,303.15,1.0,0.9666666666666667
1.0,303.15,2.0,0.5
1.0,303.15,3.0,0.4666666666666667
1.0,303.15,4.0,0.5
1.0,303.15,5.0,0.6333333333333333
1.0,303.15,6.0,0.4
1.0,303.15,7.0,0.4666666666666667
1.0,303.15,8.0,0.5
1.0,303.15,9.0,0.36666666666666664
1.0,303.15,10.0,0.6
1.0,308.15,1.0,0.9666666666666667
1.0,308.15,2.0,0.5
1.0,308.15,3.0,0.4666666666666667
1.0,308.15,4.0,0.5
1.0,308.15,5.0,0.6666666666666666
1.0,308.15,6.0,0.43333333333333335
1.0,308.15,7.0,0.4666666666666667
1.0,308.15,8.0,0.5
1.0,308.15,9.0,0.36666666666666664
1.0,308.15,10.0,0.5666666666666667
1.0,313.15,1.0,0.9666666666666667
1.0,313.15,2.0,0.5
