eutrophication,temp,repeat,persistence
1.0,273.15,1.0,0.6
1.0,273.15,2.0,0.7666666666666667
1.0,273.15,3.0,0.4666666666666667
1.0,273.15,4.0,0.5
1.0,273.15,5.0,0.5333333333333333
1.0,273.15,6.0,0.6333333333333333
1.0,273.15,7.0,0.5
1.0,273.15,8.0,0.5
1.0,273.15,9.0,0.5
1.0,273.15,10.0,0.4
1.0,273.15,11.0,0.5333333333333333
1.0,273.15,12.0,0.3333333333333333
1.0,273.15,13.0,0.36666666666666664
1.0,273.15,14.0,0.5666666666666667
1.0,273.15,15.0,0.4666666666666667
1.0,273.15,16.0,0.6666666666666666
1.0,273.15,17.0,0.5333333333333333
1.0,273.15,18.0,0.6
1.0,273.15,19.0,0.5333333333333333
1.0,273.15,20.0,0.36666666666666664
1.0,273.15,21.0,0.3333333333333333
1.0,273.15,22.0,0.4
1.0,273.15,23.0,0.6666666666666666
1.0,273.15,24.0,0.4
1.0,273.15,25.0,0.6333333333333333
1.0,273.15,26.0,0.5
1.0,273.15,27.0,0.36666666666666664
1.0,273.15,28.0,0.7333333333333333
1.0,273.15,29.0,0.6666666666666666
1.0,273.15,30.0,0.43333333333333335
1.0,275.15,1.0,0.6
1.0,275.15,2.0,0.9666666666666667
1.0,275.15,3.0,0.4666666666666667
1.0,275.15,4.0,0.5
1.0,275.15,5.0,0.5333333333333333
1.0,275.15,6.0,0.6333333333333333
1.0,275.15,7.0,0.5
1.0,275.15,8.0,0.5
1.0,275.15,9.0,0.5
1.0,275.15,10.0,0.4
1.0,275.15,11.0,0.5666666666666667
1.0,275.15,12.0,0.26666666666666666
1.0,275.15,13.0,0.36666666666666664
1.0,275.15,14.0,0.5666666666666667
1.0,275.15,15.0,0.4666666666666667
1.0,275.15,16.0,0.6666666666666666
1.0,275.15,17.0,0.5333333333333333
1.0,275.15,18.0,0.6
1.0,275.15,19.0,0.5333333333333333
1.0,275.15,20.0,0.36666666666666664
1.0,275.15,21.0,0.3333333333333333
1.0,275.15,22.0,0.5666666666666667
1.0,275.15,23.0,0.6666666666666666
1.0,275.15,24.0,0.4666666666666667
1.0,275.15,25.0,0.6333333333333333
1.0,275.15,26.0,0.5
1.0,275.15,27.0,0.36666666666666664
1.0,275.15,28.0,0.7666666666666667
1.0,275.15,29.0,0.6666666666666666
1.0,275.15,30.0,0.4666666666666667
1.0,277.15,1.0,0.6
1.0,277.15,2.0,0.9666666666666667
1.0,277.15,3.0,0.4666666666666667
1.0,277.15,4.0,0.5
1.0,277.15,5.0,0.5333333333333333
1.0,277.15,6.0,0.6333333333333333
1.0,277.15,7.0,0.5
1.0,277.15,8.0,0.4666666666666667
1.0,277.15,9.0,0.5
1.0,277.15,10.0,0.4
1.0,277.15,11.0,0.5666666666666667
1.0,277.15,12.0,0.26666666666666666
1.0,277.15,13.0,0.36666666666666664
1.0,277.15,14.0,0.5666666666666667
1.0,277.15,15.0,0.4666666666666667
1.0,277.15,16.0,0.6666666666666666
1.0,277.15,17.0,0.5333333333333333
1.0,277.15,18.0,0.6
1.0,277.15,19.0,0.5333333333333333
1.0,277.15,20.0,0.4
1.0,277.15,21.0,0.3333333333333333
1.0,277.15,22.0,0.6
1.0,277.15,23.0,0.6666666666666666
1.0,277.15,24.0,0.4666666666666667
1.0,277.15,25.0,0.6
1.0,277.15,26.0,0.5
1.0,277.15,27.0,0.36666666666666664
1.0,277.15,28.0,0.7666666666666667
1.0,277.15,29.0,0.6666666666666666
1.0,277.15,30.0,0.4666666666666667
1.0,279.15,1.0,0.6
1.0,279.15,2.0,1.0
1.0,279.15,3.0,0.4666666666666667
1.0,279.15,4.0,0.4666666666666667
1.0,279.15,5.0,0.5333333333333333
1.0,279.15,6.0,0.6
1.0,279.15,7.0,0.5
1.0,279.15,8.0,0.4666666666666667
1.0,279.15,9.0,0.5
1.0,279.15,10.0,0.4
1.0,279.15,11.0,0.5333333333333333
1.0,279.15,12.0,0.26666666666666666
1.0,279.15,13.0,0.36666666666666664
1.0,279.15,14.0,0.5666666666666667
1.0,279.15,15.0,0.4666666666666667
1.0,279.15,16.0,0.6666666666666666
1.0,279.15,17.0,0.5333333333333333
1.0,279.15,18.0,0.5666666666666667
1.0,279.15,19.0,0.5
1.0,279.15,20.0,0.4
1.0,279.15,21.0,0.5
1.0,279.15,22.0,0.6333333333333333
1.0,279.15,23.0,0.6666666666666666
1.0,279.15,24.0,0.43333333333333335
1.0,279.15,25.0,0.6
1.0,279.15,26.0,0.5
1.0,279.15,27.0,0.4666666666666667
1.0,279.15,28.0,0.7666666666666667
1.0,279.15,29.0,0.6666666666666666
1.0,279.15,30.0,0.4666666666666667
1.0,281.15,1.0,0.6
1.0,281.15,2.0,1.0
1.0,281.15,3.0,0.4666666666666667
1.0,281.15,4.0,0.4666666666666667
1.0,281.15,5.0,0.5333333333333333
1.0,281.15,6.0,0.5666666666666667
1.0,281.15,7.0,0.5
1.0,281.15,8.0,0.4666666666666667
1.0,281.15,9.0,0.5
1.0,281.15,10.0,0.4
1.0,281.15,11.0,0.5333333333333333
1.0,281.15,12.0,0.26666666666666666
1.0,281.15,13.0,0.36666666666666664
1.0,281.15,14.0,0.5333333333333333
1.0,281.15,15.0,0.4666666666666667
1.0,281.15,16.0,0.6666666666666666
1.0,281.15,17.0,0.5333333333333333
1.0,281.15,18.0,0.5666666666666667
1.0,281.15,19.0,0.5
1.0,281.15,20.0,0.36666666666666664
1.0,281.15,21.0,0.5
1.0,281.15,22.0,0.6333333333333333
1.0,281.15,23.0,0.5666666666666667
