eutrophication,temp,repeat,persistence
1.0,273.15,1.0,0.7666666666666667
1.0,273.15,2.0,0.4666666666666667
1.0,273.15,3.0,0.5
1.0,273.15,4.0,0.5333333333333333
1.0,273.15,5.0,0.6333333333333333
1.0,273.15,6.0,0.5
1.0,273.15,7.0,0.5
1.0,273.15,8.0,0.5
1.0,273.15,9.0,0.4
1.0,273.15,10.0,0.5333333333333333
1.0,275.15,1.0,0.9666666666666667
1.0,275.15,2.0,0.4666666666666667
1.0,275.15,3.0,0.5
1.0,275.15,4.0,0.5333333333333333
1.0,275.15,5.0,0.6333333333333333
1.0,275.15,6.0,0.5
1.0,275.15,7.0,0.5
1.0,275.15,8.0,0.5
1.0,275.15,9.0,0.4
1.0,275.15,10.0,0.5666666666666667
1.0,277.15,1.0,0.9666666666666667
1.0,277.15,2.0,0.4666666666666667
1.0,277.15,3.0,0.5
1.0,277.15,4.0,0.5333333333333333
1.0,277.15,5.0,0.6333333333333333
1.0,277.15,6.0,0.5
1.0,277.15,7.0,0.4666666666666667
1.0,277.15,8.0,0.5
1.0,277.15,9.0,0.4
1.0,277.15,10.0,0.5666666666666667
1.0,279.15,1.0,1.0
1.0,279.15,2.0,0.4666666666666667
1.0,279.15,3.0,0.4666666666666667
1.0,279.15,4.0,0.5333333333333333
1.0,279.15,5.0,0.6
1.0,279.15,6.0,0.5
1.0,279.15,7.0,0.4666666666666667
1.0,279.15,8.0,0.5
1.0,279.15,9.0,0.4
1.0,279.15,10.0,0.5333333333333333
1.0,281.15,1.0,1.0
1.0,281.15,2.0,0.4666666666666667
1.0,281.15,3.0,0.4666666666666667
1.0,281.15,4.0,0.5333333333333333
1.0,281.15,5.0,0.5666666666666667
1.0,281.15,6.0,0.5
1.0,281.15,7.0,0.4666666666666667
1.0,281.15,8.0,0.5
1.0,281.15,9.0,0.4
1.0,281.15,10.0,0.5333333333333333
1.0,283.15,1.0,0.9666666666666667
1.0,283.15,2.0,0.4666666666666667
1.0,283.15,3.0,0.4666666666666667
1.0,283.15,4.0,0.5
1.0,283.15,5.0,0.6333333333333333
1.0,283.15,6.0,0.43333333333333335
1.0,283.15,7.0,0.4666666666666667
1.0,283.15,8.0,0.5
1.0,283.15,9.0,0.4
1.0,283.15,10.0,0.5666666666666667
1.0,285.15,1.0,0.9666666666666667
1.0,285.15,2.0,0.5
1.0,285.15,3.0,0.4666666666666667
1.0,285.15,4.0,0.5
1.0,285.15,5.0,0.6333333333333333
1.0,285.15,6.0,0.43333333333333335
1.0,285.15,7.0,0.4666666666666667
1.0,285.15,8.0,0.5
1.0,285.15,9.0,0.4
1.0,285.15,10.0,0.5666666666666667
1.0,287.15,1.0,0.9666666666666667
1.0,287.15,2.0,0.5
1.0,287.15,3.0,0.4666666666666667
1.0,287.15,4.0,0.5
1.0,287.15,5.0,0.6333333333333333
1.0,287.15,6.0,0.43333333333333335
1.0,287.15,7.0,0.4666666666666667
1.0,287.15,8.0,0.5
1.0,287.15,9.0,0.36666666666666664
1.0,287.15,10.0,0.5666666666666667
1.0,289.15,1.0,0.9666666666666667
1.0,289.15,2.0,0.5
1.0,289.15,3.0,0.4666666666666667
