fw,step,temp,richness,stability,biomass
1.0,1.0,313.15,16.0,4.5396317266758664e-8,0.38352421680724813
2.0,1.0,313.15,22.0,1.5988026248471176e-10,0.6553110900032855
3.0,1.0,313.15,14.0,8.380818031430585e-16,0.2747359074637468
4.0,1.0,313.15,14.0,4.909212440923853e-8,0.38562681538502913
5.0,1.0,313.15,14.0,4.0069704299824834e-10,0.3383738301059525
6.0,1.0,313.15,17.0,2.1050480461845013e-8,0.43494251678316986
7.0,1.0,313.15,12.0,9.914167782129374e-16,0.2424186706459605
8.0,1.0,313.15,14.0,3.8315551513980596e-10,0.48282284035669626
9.0,1.0,313.15,16.0,5.644716404038641e-7,0.687403356997958
10.0,1.0,313.15,7.0,1.8731526873821643e-15,0.202915484420691
11.0,1.0,313.15,17.0,3.8905177526944135e-9,0.6019110849008669
12.0,1.0,313.15,16.0,0.012881129218804566,0.3875585661913131
13.0,1.0,313.15,11.0,1.6294326762336182e-11,0.4171433549107981
14.0,1.0,313.15,14.0,1.6764808561064734e-8,0.42475106819376707
15.0,1.0,313.15,12.0,4.126242431110959e-12,0.46393200110280297
16.0,1.0,313.15,19.0,4.5736309212481694e-5,0.5412885438808664
17.0,1.0,313.15,11.0,2.5577460945180038e-9,0.29909817451167653
18.0,1.0,313.15,18.0,1.955147982671947e-9,0.6137581495031313
19.0,1.0,313.15,13.0,1.67163393203613e-9,0.5344792425857086
20.0,1.0,313.15,11.0,2.5701384405562294e-9,0.29134444396228326
21.0,1.0,313.15,15.0,1.2136404330012991e-9,0.3294054232080354
22.0,1.0,313.15,18.0,7.42116917926087e-7,0.4928437451191666
23.0,1.0,313.15,19.0,1.8161663445544604e-5,0.6598980226281507
24.0,1.0,313.15,14.0,1.2273334636946683e-7,0.5195325800666349
25.0,1.0,313.15,18.0,4.60675456776836e-9,0.4325581248561105
