fw,step,temp,richness,stability,biomass
1.0,1.0,291.15,21.0,0.00019580204328724374,0.5837860793717866
1.0,2.0,291.36052631578946,19.0,4.9211413795197435e-8,2.7184404599849206
1.0,3.0,291.57105263157894,19.0,9.78535187974177e-8,2.5944528906049062
1.0,4.0,291.7815789473684,18.0,2.4518216423466406e-7,2.612399867440448
1.0,5.0,291.9921052631579,17.0,1.1200413136227065e-8,2.4732761498230063
1.0,6.0,292.2026315789474,16.0,2.2316345307499536e-8,2.383298607599412
1.0,7.0,292.4131578947368,16.0,0.00022806003662903255,2.2736687151623616
1.0,8.0,292.6236842105263,16.0,6.2817837232786054e-9,2.2909221135896733
1.0,9.0,292.83421052631576,16.0,2.125566689806487e-9,2.308177489801487
1.0,10.0,293.04473684210524,16.0,2.2095891974728476e-9,2.3254224056898614
1.0,11.0,293.2552631578947,16.0,1.1139228466620028e-8,2.342608369718386
1.0,12.0,293.4657894736842,16.0,2.3052523393934293e-10,2.3597439863934473
1.0,13.0,293.6763157894737,16.0,1.0953518349943499e-9,2.376807250458742
1.0,14.0,293.88684210526316,16.0,9.703287651125774e-9,2.3938239255138853
1.0,15.0,294.0973684210526,16.0,1.732134258291662e-8,2.4107471698866596
1.0,16.0,294.30789473684206,16.0,0.00048468846794242677,2.4275899653284783
1.0,17.0,294.51842105263154,16.0,0.0005909587666260958,2.444340217869243
1.0,18.0,294.728947368421,16.0,0.00054038647384065,2.460986163877841
1.0,19.0,294.9394736842105,16.0,0.0004994380777189107,2.4775372077840974
1.0,20.0,295.15,16.0,0.0005022124159076706,2.493937398653645
2.0,1.0,291.15,29.0,2.98842636882024e-5,2.245407225898085
2.0,2.0,291.36052631578946,28.0,0.00017285088826852937,5.963270189482099
2.0,3.0,291.57105263157894,28.0,0.00016298530969644073,5.880281264810371
2.0,4.0,291.7815789473684,27.0,0.00016465961768405633,5.891451815117241
2.0,5.0,291.9921052631579,27.0,0.0001560165189254463,5.694462296944874
2.0,6.0,292.2026315789474,27.0,0.00014588854556500915,5.706355081374203
2.0,7.0,292.4131578947368,27.0,0.00014257346355670653,5.717633283936959
2.0,8.0,292.6236842105263,27.0,0.00013926348141102656,5.72819550776613
2.0,9.0,292.83421052631576,27.0,0.00013239615670635266,5.738002311977074
2.0,10.0,293.04473684210524,27.0,0.00013217174387279495,5.746961346919244
2.0,11.0,293.2552631578947,27.0,0.00012657022829853985,5.755050812006417
2.0,12.0,293.4657894736842,27.0,0.00012206512516808181,5.762205341517581
2.0,13.0,293.6763157894737,27.0,0.00011700890614251337,5.76837382237305
2.0,14.0,293.88684210526316,27.0,0.00011345776631287425,5.773514686531566
2.0,15.0,294.0973684210526,27.0,0.00010750579442550194,5.777589866708072
2.0,16.0,294.30789473684206,27.0,0.0001059947789522019,5.780558748430855
2.0,17.0,294.51842105263154,27.0,0.00010194707412944197,5.78238769121028
2.0,18.0,294.728947368421,27.0,9.429347026095119e-5,5.783046466842805
2.0,19.0,294.9394736842105,27.0,9.757397222972526e-5,5.782508346481783
2.0,20.0,295.15,27.0,8.448114754313246e-10,5.780759273744362
3.0,1.0,291.15,18.0,0.00012201591425099262,0.5066259124720253
3.0,2.0,291.36052631578946,18.0,7.514998327940207e-9,1.8286433240309785
3.0,3.0,291.57105263157894,18.0,5.318559105379642e-9,1.8688974751418355
3.0,4.0,291.7815789473684,18.0,5.175576036506379e-9,1.8829874458854727
3.0,5.0,291.9921052631579,18.0,4.102010135374599e-9,1.8969988155062898
3.0,6.0,292.2026315789474,18.0,3.0603058059391156e-8,1.9109150652816684
3.0,7.0,292.4131578947368,18.0,0.00028300553958065784,1.9247572128474575
3.0,8.0,292.6236842105263,18.0,1.5689960692846492e-9,1.9384949744899926
3.0,9.0,292.83421052631576,18.0,1.4842997577962375e-9,1.9521268703226133
3.0,10.0,293.04473684210524,18.0,1.6000302534397627e-9,1.9656229107743972
3.0,11.0,293.2552631578947,18.0,1.2195274973871052e-9,1.9790027395691985
3.0,12.0,293.4657894736842,18.0,7.639442360533278e-10,1.9922410895495122
3.0,13.0,293.6763157894737,18.0,7.058970618019297e-10,2.0053427166275344
3.0,14.0,293.88684210526316,18.0,4.861723644705361e-10,2.0182888856365837
3.0,15.0,294.0973684210526,18.0,2.1341831792046185e-10,2.0310750208510897
3.0,16.0,294.30789473684206,18.0,1.96183689402357e-10,2.043690445572562
3.0,17.0,294.51842105263154,18.0,0.00028226673545911964,2.056125974874727
3.0,18.0,294.728947368421,18.0,0.00026730393497058054,2.068368348457741
3.0,19.0,294.9394736842105,18.0,0.00025449361600343007,2.080416749146108
3.0,20.0,295.15,18.0,0.0002450317818730913,2.092245283564015
4.0,1.0,291.15,23.0,0.002436158231444416,0.615294099535102
4.0,2.0,291.36052631578946,23.0,2.4344869148391227e-8,3.2192550480157087
4.0,3.0,291.57105263157894,23.0,3.0143235515316987e-10,3.3248906206003657
4.0,4.0,291.7815789473684,23.0,1.632883625123865e-10,3.3346815858661873
4.0,5.0,291.9921052631579,23.0,2.4474434448822237e-10,3.343986516115992
4.0,6.0,292.2026315789474,22.0,2.556964339796783e-10,3.352808776631649
4.0,7.0,292.4131578947368,22.0,3.865215723409052e-10,3.1661336191030562
4.0,8.0,292.6236842105263,22.0,7.792665779412073e-12,3.177215860139713
4.0,9.0,292.83421052631576,22.0,7.383992018159341e-11,3.189030269463005
4.0,10.0,293.04473684210524,22.0,1.7598200622649037e-11,3.2004220443598537
4.0,11.0,293.2552631578947,22.0,5.613744513274207e-12,3.2113906606526026
4.0,12.0,293.4657894736842,22.0,2.1587991532742203e-11,3.2219366638177864
4.0,13.0,293.6763157894737,22.0,2.378221190187712e-11,3.23206066020469
4.0,14.0,293.88684210526316,22.0,6.017182616076372e-11,3.241763362363079
4.0,15.0,294.0973684210526,22.0,1.8237624557364812e-10,3.2510454516213403
4.0,16.0,294.30789473684206,22.0,2.20708274837455e-5,3.2599107253878294
4.0,17.0,294.51842105263154,22.0,1.634982220610215e-10,3.268362271537957
4.0,18.0,294.728947368421,22.0,1.7487371531093922e-5,3.27637298553839
4.0,19.0,294.9394736842105,22.0,1.783214932034691e-5,3.2839726129120987
4.0,20.0,295.15,22.0,1.6461271775597954e-5,3.2911509092890503
5.0,1.0,291.15,19.0,0.0025998606767622355,2.9459223650577315
5.0,2.0,291.36052631578946,17.0,7.792136018552753e-10,2.346063613115866
5.0,3.0,291.57105263157894,17.0,1.2803045784221401e-9,2.193412653470093
5.0,4.0,291.7815789473684,16.0,7.769616812865653e-10,2.2083639342060963
5.0,5.0,291.9921052631579,16.0,1.178941332131965e-7,2.1391464269149347
5.0,6.0,292.2026315789474,16.0,1.0636903746155187e-7,2.15379023564848
5.0,7.0,292.4131578947368,16.0,9.419685546053476e-8,2.1688866438964682
5.0,8.0,292.6236842105263,16.0,8.393325380197428e-8,2.1838174145120273
5.0,9.0,292.83421052631576,16.0,7.4693406490238e-8,2.1985645219068854
5.0,10.0,293.04473684210524,16.0,6.335202659071458e-8,2.2131186930338775
5.0,11.0,293.2552631578947,16.0,6.120675491288945e-8,2.2274614755787336
5.0,12.0,293.4657894736842,16.0,5.305925158480753e-8,2.241585187477753
5.0,13.0,293.6763157894737,16.0,0.00023215333024274623,2.255469666261341
5.0,14.0,293.88684210526316,16.0,0.0002244165336268389,2.269098357497923
5.0,15.0,294.0973684210526,16.0,0.00021699056472509657,2.282458197058531
5.0,16.0,294.30789473684206,16.0,0.00022402220182652868,2.2955381149205984
5.0,17.0,294.51842105263154,16.0,0.00020221280172872912,2.308315152633046
