fw,step,temp,richness,stability,biomass
1.0,1.0,284.65,25.0,0.026647358356427085,2.4588175467922095
1.0,2.0,281.728947368421,23.0,0.00043850692992385116,1.9574431631388725
1.0,3.0,287.80789473684206,23.0,1.156351358854143e-6,2.386175729254182
1.0,4.0,284.88684210526316,23.0,0.00036079349897297154,2.1237840468791225
1.0,5.0,290.9657894736842,23.0,3.9900665943267835e-6,2.651327504172444
1.0,6.0,288.04473684210524,23.0,5.00813554612197e-7,2.407062344394135
1.0,7.0,294.1236842105263,23.0,0.00017969549169606042,2.8527966598029844
1.0,8.0,291.2026315789474,23.0,3.6839855211197595e-8,2.6708866889101865
1.0,9.0,297.2815789473684,22.0,0.00016200875813905357,2.911588937668405
1.0,10.0,294.36052631578946,22.0,0.00018622177056723435,2.7928444787498403
1.0,11.0,300.4394736842105,20.0,1.5958621007536012e-6,2.773573488344944
1.0,12.0,297.51842105263154,20.0,0.00014943751069576748,2.838865540285874
1.0,13.0,303.5973684210526,17.0,8.444704227965305e-12,2.547942530965957
1.0,14.0,300.6763157894737,17.0,6.75581158003633e-9,2.75033014661377
1.0,15.0,306.7552631578947,17.0,2.8294272274673017e-9,2.226639505776294
1.0,16.0,303.83421052631576,17.0,1.014372839173355e-9,2.5268232150228456
1.0,17.0,309.9131578947368,15.0,3.9464586926570254e-7,1.7945747641349568
1.0,18.0,306.9921052631579,15.0,1.828669924015517e-8,2.1704708120734746
1.0,19.0,313.07105263157894,8.0,9.647195328282867e-16,1.3385130371783347
1.0,20.0,310.15,8.0,4.5145677130497024e-12,1.71387694786776
2.0,1.0,284.65,30.0,3.5107657710919996e-5,1.7176155097998296
2.0,2.0,281.728947368421,28.0,2.2405083991672704e-6,5.31092212908562
2.0,3.0,287.80789473684206,28.0,2.6417261839278403e-9,5.416793678799158
2.0,4.0,284.88684210526316,28.0,3.63212964874633e-8,5.357348669585605
2.0,5.0,290.9657894736842,28.0,8.228782563103661e-10,5.656424105034504
2.0,6.0,288.04473684210524,27.0,2.0635668762315214e-9,5.442759253923619
2.0,7.0,294.1236842105263,27.0,8.836641334941743e-5,5.644708527297109
2.0,8.0,291.2026315789474,27.0,3.066692343631933e-11,5.485824492260639
2.0,9.0,297.2815789473684,27.0,3.866753314971587e-11,5.598500072852436
2.0,10.0,294.36052631578946,27.0,8.60563732385857e-5,5.656133124334104
2.0,11.0,300.4394736842105,27.0,8.269155427028988e-11,5.300278982659846
2.0,12.0,297.51842105263154,27.0,1.5783223325592967e-11,5.587081108733178
2.0,13.0,303.5973684210526,26.0,6.475354559489389e-11,4.6638127578451
2.0,14.0,300.6763157894737,26.0,6.5950235804124786e-12,5.184509188037483
2.0,15.0,306.7552631578947,25.0,2.785980040754674e-5,3.6975221493692048
2.0,16.0,303.83421052631576,25.0,2.99777118188867e-8,4.533529435980948
2.0,17.0,309.9131578947368,21.0,1.2115794049100919e-11,2.8737031307899206
2.0,18.0,306.9921052631579,21.0,1.0156281454095194e-11,3.6055359758303025
2.0,19.0,313.07105263157894,13.0,8.172766974990162e-16,2.1745066833852285
2.0,20.0,310.15,13.0,4.514565283747987e-12,2.7850500402851104
3.0,1.0,284.65,25.0,7.620665846905658e-5,0.4602293861104222
3.0,2.0,281.728947368421,21.0,0.0003829871445257968,1.7834454937930557
3.0,3.0,287.80789473684206,21.0,0.0003211401629488053,2.067182382675268
3.0,4.0,284.88684210526316,21.0,0.00035735818531625296,1.8459460006055655
3.0,5.0,290.9657894736842,21.0,3.792208695883932e-10,2.293237122669813
3.0,6.0,288.04473684210524,21.0,0.0003156493198774736,2.084611555926888
3.0,7.0,294.1236842105263,21.0,2.5993516928632183e-10,2.4803310239650918
3.0,8.0,291.2026315789474,21.0,7.30731315611323e-11,2.3089973093963767
3.0,9.0,297.2815789473684,21.0,0.00012791777586540007,2.582426876283888
3.0,10.0,294.36052631578946,21.0,1.3591518824378959e-10,2.4914451816570073
3.0,11.0,300.4394736842105,21.0,8.482770019014646e-5,2.526925892171485
3.0,12.0,297.51842105263154,21.0,0.00012393805790767348,2.583506107496527
3.0,13.0,303.5973684210526,20.0,9.914116058887455e-9,2.300028711579055
3.0,14.0,300.6763157894737,20.0,8.526541115706195e-5,2.4872934751500115
3.0,15.0,306.7552631578947,17.0,2.6009897790884467e-14,1.9820153851437983
3.0,16.0,303.83421052631576,17.0,1.4186426613973149e-11,2.0618571237740935
3.0,17.0,309.9131578947368,16.0,3.097530284148797e-8,1.5810685002307239
3.0,18.0,306.9921052631579,16.0,2.2161744057385766e-9,1.8799864238593742
3.0,19.0,313.07105263157894,7.0,1.8972494763370002e-16,1.17134504602262
3.0,20.0,310.15,7.0,4.514608643663256e-12,1.4996423293842902
4.0,1.0,284.65,25.0,0.005590846575411242,0.6127227681689082
4.0,2.0,281.728947368421,24.0,0.00033231772492601196,2.2479058000144825
4.0,3.0,287.80789473684206,24.0,3.5698265306666884e-5,3.2251103638559173
4.0,4.0,284.88684210526316,24.0,6.066609757844961e-5,2.942588529551732
4.0,5.0,290.9657894736842,24.0,7.91983201425828e-10,3.4700326330330107
4.0,6.0,288.04473684210524,24.0,3.580530477876081e-5,3.2550002428067173
4.0,7.0,294.1236842105263,24.0,3.780834588355443e-11,3.6024570182118607
4.0,8.0,291.2026315789474,24.0,7.482749055274592e-10,3.484981009724947
4.0,9.0,297.2815789473684,24.0,6.315166672488824e-5,3.6195360108208607
4.0,10.0,294.36052631578946,24.0,2.415194518505711e-11,3.608615541576571
4.0,11.0,300.4394736842105,24.0,8.401403490810215e-9,3.4832264959698884
