fw,step,temp,richness,stability,biomass
1.0,1.0,287.65,22.0,0.001511566708443102,0.8520647314870049
1.0,2.0,278.728947368421,18.0,0.0007166772500250635,1.695811159504837
1.0,3.0,290.80789473684206,18.0,0.00046655630831413537,2.5387297664348707
1.0,4.0,281.88684210526316,18.0,0.0006236010526462325,1.8467508435646625
1.0,5.0,293.9657894736842,18.0,1.745598250184178e-8,2.7103978801932485
1.0,6.0,285.04473684210524,18.0,0.0005291539621105025,2.101804014112561
1.0,7.0,297.1236842105263,18.0,0.0002671350255650903,2.7905874197944045
1.0,8.0,288.2026315789474,18.0,0.0005136292945717942,2.3518448730611783
1.0,9.0,300.2815789473684,18.0,5.824727512454482e-10,2.7403685266631017
1.0,10.0,291.36052631578946,18.0,0.0004180124827263735,2.5725298829828214
1.0,11.0,303.4394736842105,18.0,7.777535780059118e-9,2.5323315751628925
1.0,12.0,294.51842105263154,18.0,3.807195342730574e-8,2.732205997650061
1.0,13.0,306.5973684210526,16.0,2.5737943300686226e-6,2.2107787606996605
1.0,14.0,297.6763157894737,15.0,1.7172761427473492e-7,2.816279564462454
1.0,15.0,309.7552631578947,15.0,6.540977386923672e-10,1.8206623902793924
1.0,16.0,300.83421052631576,15.0,9.396014272547731e-9,2.5949523673651913
1.0,17.0,312.9131578947368,8.0,8.765557742698578e-16,1.3565871874133406
1.0,18.0,303.9921052631579,8.0,6.129757422684582e-12,2.934388302990434
1.0,19.0,316.07105263157894,8.0,5.148005606996349e-12,1.0422542696681887
1.0,20.0,307.15,8.0,4.896707319863014e-12,2.2210360683941515
2.0,1.0,287.65,29.0,3.531147243376917e-5,1.945964303472024
2.0,2.0,278.728947368421,28.0,2.8222866349396623e-5,6.111101594159992
2.0,3.0,290.80789473684206,28.0,0.00021141549238575905,5.823650254286452
2.0,4.0,281.88684210526316,27.0,3.1370166157698153e-7,6.112111713825519
2.0,5.0,293.9657894736842,27.0,9.278392285577821e-5,5.870135247923057
2.0,6.0,285.04473684210524,26.0,1.9432115318628068e-8,5.989757847323495
2.0,7.0,297.1236842105263,26.0,8.579267590165814e-12,5.604627825672233
2.0,8.0,288.2026315789474,26.0,0.00031957877471996363,5.481645646136081
2.0,9.0,300.2815789473684,26.0,5.748610314973635e-12,5.271454036872489
2.0,10.0,291.36052631578946,26.0,0.00016130934440422432,5.601398019439441
2.0,11.0,303.4394736842105,26.0,9.813519230744848e-11,4.6611024757697415
2.0,12.0,294.51842105263154,26.0,9.781176793870125e-5,5.70046121526889
2.0,13.0,306.5973684210526,24.0,4.2426232082573745e-6,3.7513106413112984
2.0,14.0,297.6763157894737,24.0,1.8873916444900124e-9,5.645917152306055
2.0,15.0,309.7552631578947,21.0,4.261287054849124e-12,2.914445196592224
2.0,16.0,300.83421052631576,21.0,1.9375083964799773e-11,5.466844703248315
2.0,17.0,312.9131578947368,13.0,8.0649488613824555e-16,2.2038967817062916
2.0,18.0,303.9921052631579,13.0,6.1297563857433554e-12,4.768380992359456
2.0,19.0,316.07105263157894,13.0,5.148007017824496e-12,1.693663188210807
2.0,20.0,307.15,13.0,4.896709560328731e-12,3.6091836111404962
3.0,1.0,287.65,19.0,6.077577456218407e-6,0.47474844013628636
