fw,step,temp,richness,stability,biomass
1.0,1.0,281.0083218349817,29.0,0.0013979472882585955,5.132203363045493
1.0,2.0,288.389271701606,26.0,0.00042800566498317613,2.756122909817307
1.0,3.0,288.40659499117237,26.0,2.3611861695923205e-5,2.5752874757788082
1.0,4.0,288.1174690466247,26.0,7.107952967332445e-5,2.5560308269713614
1.0,5.0,290.0647460560945,26.0,7.939417435734713e-6,2.722321553621272
1.0,6.0,292.38485692434733,25.0,0.0002835538847709934,2.8969683573981144
1.0,7.0,294.0467620855703,25.0,1.0853528420791503e-8,2.951823417893832
1.0,8.0,293.32484735152156,24.0,7.567080036700884e-9,2.910026370376696
1.0,9.0,297.6141655882478,24.0,0.00021836605837736352,3.076177348751523
1.0,10.0,296.8047295117515,24.0,0.00022232149298893037,3.0719871616801804
1.0,11.0,299.7390657116117,24.0,7.209664661234389e-10,3.0194218655132152
1.0,12.0,300.3307777696708,22.0,5.4213119867774487e-8,2.9746946417934272
1.0,13.0,302.02448799861753,21.0,6.978105892891868e-10,2.8001308753609258
1.0,14.0,304.14059282652596,21.0,4.79936925326989e-7,2.5542046844667277
1.0,15.0,305.1412519467504,19.0,2.4114483654080652e-5,2.4305255754939794
1.0,16.0,308.2921435010437,17.0,2.384622234293638e-6,2.031162328306939
1.0,17.0,309.3890672521302,15.0,6.532027537652918e-8,1.8778797872468793
1.0,18.0,308.32750447448217,15.0,1.7186313664267528e-9,2.023415403001741
1.0,19.0,309.90694068260166,15.0,1.5788820972619994e-9,1.7955124322982807
1.0,20.0,317.1443338770534,8.0,1.0331579150537784e-15,0.9542930099926898
2.0,1.0,281.0083218349817,30.0,8.508187837426478e-5,1.4919915994104653
2.0,2.0,288.389271701606,28.0,5.827011930360083e-6,5.617713993993582
2.0,3.0,288.40659499117237,28.0,1.7446651125701824e-9,5.4645212100653735
2.0,4.0,288.1174690466247,28.0,9.220061208234256e-10,5.443467871167436
2.0,5.0,290.0647460560945,27.0,8.213575411220832e-11,5.590830602799304
