fw,step,temp,richness,stability,biomass
1.0,1.0,294.65,20.0,4.264407836438658e-6,0.48018821223238056
1.0,2.0,301.65,18.0,9.312355895128844e-9,3.0703308461301266
1.0,3.0,294.65,17.0,3.6741219304055586e-9,3.081627037280552
1.0,4.0,301.65,17.0,5.230037196858925e-10,2.9134071588788437
1.0,5.0,294.65,17.0,1.2652291072381835e-9,2.9143466953236636
1.0,6.0,301.65,17.0,7.083480178412056e-11,2.9133686693814647
1.0,7.0,294.65,17.0,1.4837746134420826e-9,2.9143466731283874
1.0,8.0,301.65,17.0,3.106982482188548e-11,2.9133686644294636
1.0,9.0,294.65,17.0,1.5249760462859107e-9,2.9143466725472527
1.0,10.0,301.65,17.0,1.853114522413069e-11,2.9133686627071302
1.0,11.0,294.65,17.0,1.5447598953022892e-9,2.9143466731096432
1.0,12.0,301.65,17.0,1.1495872278196223e-11,2.9133686616221124
1.0,13.0,294.65,17.0,1.557247656943375e-9,2.914346674027279
1.0,14.0,301.65,17.0,6.88498535626929e-12,2.913368660860232
1.0,15.0,294.65,17.0,1.5658951596796345e-9,2.9143466749422955
1.0,16.0,301.65,17.0,3.726540455003221e-12,2.9133686602999322
1.0,17.0,294.65,17.0,1.5721809352173324e-9,2.914346675701056
1.0,18.0,301.65,17.0,1.8104387657543131e-12,2.913368659901586
1.0,19.0,294.65,17.0,1.5768981899407883e-9,2.9143466764650983
1.0,20.0,301.65,17.0,1.7766573337129013e-12,2.913368659593296
2.0,1.0,294.65,28.0,2.7301204584268253e-5,2.550132415087479
2.0,2.0,301.65,27.0,3.7150646381034925e-8,5.067460576617494
2.0,3.0,294.65,27.0,9.783450841818872e-5,4.891389605238955
2.0,4.0,301.65,26.0,6.830741870281324e-11,5.030246642768524
2.0,5.0,294.65,26.0,9.965199406561257e-5,4.749589037803947
2.0,6.0,301.65,26.0,4.303999977070174e-11,4.930005531590827
2.0,7.0,294.65,26.0,0.00010131529038077916,4.748602958709062
2.0,8.0,301.65,26.0,4.3039698519190026e-11,4.930005524144845
2.0,9.0,294.65,26.0,0.00010131529038138673,4.748602958709062
2.0,10.0,301.65,26.0,4.303987285487257e-11,4.93000552414483
2.0,11.0,294.65,26.0,0.00010131525721692647,4.748602958707287
2.0,12.0,301.65,26.0,4.3039913910577604e-11,4.9300055241457965
2.0,13.0,294.65,26.0,0.0001013152572175186,4.748602958707287
2.0,14.0,301.65,26.0,4.303986095284796e-11,4.930005524145887
2.0,15.0,294.65,26.0,0.00010131529038066788,4.748602958709062
2.0,16.0,301.65,26.0,4.303943427204466e-11,4.930005524145363
2.0,17.0,294.65,26.0,0.00010131529038223169,4.748602958709062
2.0,18.0,301.65,26.0,4.303998812375307e-11,4.930005524145494
2.0,19.0,294.65,26.0,0.0001013152572180162,4.748602958707287
2.0,20.0,301.65,26.0,4.304009931653038e-11,4.930005524145032
3.0,1.0,294.65,17.0,0.00011136352594885128,0.5440246666427547
3.0,2.0,301.65,17.0,9.856980314232368e-5,1.9069550152971202
3.0,3.0,294.65,17.0,0.0002915001425141488,1.737558454862614
3.0,4.0,301.65,17.0,9.849332753824543e-5,1.916991079850519
3.0,5.0,294.65,17.0,0.0003054496027199274,1.737559887738898
3.0,6.0,301.65,17.0,9.854369150920632e-5,1.916991144568661
3.0,7.0,294.65,17.0,0.00030544720109851304,1.737559892338316
3.0,8.0,301.65,17.0,9.854366138080098e-5,1.9169911445949697
3.0,9.0,294.65,17.0,0.0003054472326170725,1.7375598923365783
3.0,10.0,301.65,17.0,9.8543658379951e-5,1.9169911445952992
3.0,11.0,294.65,17.0,0.0003054470943868928,1.737559892338694
3.0,12.0,301.65,17.0,9.854365557799241e-5,1.9169911445951096
3.0,13.0,294.65,17.0,0.00030544709503855665,1.7375598923389284
3.0,14.0,301.65,17.0,9.854365558503624e-5,1.9169911445951107
3.0,15.0,294.65,17.0,0.0003054470950404055,1.7375598923389284
3.0,16.0,301.65,17.0,9.85436555852858e-5,1.9169911445951107
3.0,17.0,294.65,17.0,0.0003054470950377352,1.7375598923389286
3.0,18.0,301.65,17.0,9.854365558240704e-5,1.9169911445951107
3.0,19.0,294.65,17.0,0.00030544709503937245,1.7375598923389286
3.0,20.0,301.65,17.0,9.854365558265902e-5,1.9169911445951107
4.0,1.0,294.65,21.0,0.0012582818827821108,0.6339347287570436
4.0,2.0,301.65,18.0,3.5659935828780225e-13,2.759580981725342
4.0,3.0,294.65,17.0,0.00021882786867544058,2.501739190931672
4.0,4.0,301.65,17.0,3.876579412156747e-11,2.54092850792542
4.0,5.0,294.65,16.0,0.00022905277968124712,2.3474939202787866
4.0,6.0,301.65,16.0,3.2284123813395564e-10,2.4970111356297697
4.0,7.0,294.65,16.0,0.00023233575445726163,2.229304400657572
4.0,8.0,301.65,16.0,2.640602523839089e-10,2.496970024414811
4.0,9.0,294.65,16.0,0.00023233575540833237,2.229304400657635
4.0,10.0,301.65,16.0,2.640605140828507e-10,2.49697002441473
4.0,11.0,294.65,16.0,0.00023233575517715124,2.2293044006576337
4.0,12.0,301.65,16.0,2.640600025744256e-10,2.496970024414738
4.0,13.0,294.65,16.0,0.00023233575517689605,2.2293044006576332
4.0,14.0,301.65,16.0,2.640601308433823e-10,2.496970024414735
4.0,15.0,294.65,16.0,0.0002323357554083146,2.229304400657635
4.0,16.0,301.65,16.0,2.6406005375854294e-10,2.4969700244147552
4.0,17.0,294.65,16.0,0.00023233575433710422,2.229304400657568
4.0,18.0,301.65,16.0,2.640599803008166e-10,2.4969700244148028
4.0,19.0,294.65,16.0,0.000232335754457134,2.2293044006575697
4.0,20.0,301.65,16.0,2.6406016194038845e-10,2.496970024414796
5.0,1.0,294.65,19.0,1.8942316554523977e-5,1.7820400872512854
5.0,2.0,301.65,16.0,1.684440750172303e-12,2.4560463203362186
5.0,3.0,294.65,16.0,0.00019849128271423372,2.317435837955404
5.0,4.0,301.65,15.0,2.9367310696476495e-10,2.427345984776803
5.0,5.0,294.65,15.0,0.00020034508678683092,2.229587386219538
5.0,6.0,301.65,15.0,9.862034512806897e-12,2.3715273106564063
5.0,7.0,294.65,15.0,0.00020242748445900146,2.2295704805878906
5.0,8.0,301.65,15.0,9.868697761473554e-12,2.3715272387764808
5.0,9.0,294.65,15.0,0.00020242748445551274,2.2295704805878906
5.0,10.0,301.65,15.0,9.868575554194142e-12,2.371527238776526
5.0,11.0,294.65,15.0,0.0002024274844576631,2.2295704805878906
5.0,12.0,301.65,15.0,9.868766148975198e-12,2.3715272387764785
5.0,13.0,294.65,15.0,0.00020242748446195255,2.2295704805878906
5.0,14.0,301.65,15.0,9.868703997775843e-12,2.3715272387764816
5.0,15.0,294.65,15.0,0.00020242748445335786,2.2295704805878906
5.0,16.0,301.65,15.0,9.868793663054012e-12,2.3715272387765234
5.0,17.0,294.65,15.0,0.00020242748446138223,2.2295704805878906
5.0,18.0,301.65,15.0,9.868623087518012e-12,2.37152723877653
5.0,19.0,294.65,15.0,0.00020242748445567393,2.2295704805878906
5.0,20.0,301.65,15.0,9.868786447788437e-12,2.3715272387765247
6.0,1.0,294.65,19.0,3.432411402896103e-6,0.6617572256518258
6.0,2.0,301.65,19.0,1.3727646871267862e-9,2.9025285098646423
6.0,3.0,294.65,19.0,0.000210252438267107,3.0178278261747313
6.0,4.0,301.65,19.0,1.7988174053868542e-10,2.9174909996195453
6.0,5.0,294.65,15.0,0.00021027829559857063,3.017827607989823
6.0,6.0,301.65,15.0,4.024625776450721e-5,2.951490884489975
6.0,7.0,294.65,15.0,0.00017621607691137636,2.7504834785569425
6.0,8.0,301.65,15.0,4.1579699417612276e-5,2.950971525578385
6.0,9.0,294.65,15.0,0.00017606022362034025,2.750483221238178
6.0,10.0,301.65,15.0,4.1579786461759475e-5,2.9509715190695704
6.0,11.0,294.65,15.0,0.00017605981408048648,2.750483214586743
6.0,12.0,301.65,15.0,4.157983696132039e-5,2.9509715164711543
6.0,13.0,294.65,15.0,0.00017605943267551968,2.750483210881473
6.0,14.0,301.65,15.0,4.1579878394053474e-5,2.950971514931735
6.0,15.0,294.65,15.0,0.0001760592695117458,2.7504832085792197
6.0,16.0,301.65,15.0,4.1579915656406325e-5,2.9509715139410053
6.0,17.0,294.65,15.0,0.00017605915609487566,2.750483207055389
6.0,18.0,301.65,15.0,4.157992178291875e-5,2.9509715132702854
6.0,19.0,294.65,15.0,0.0001760591080019859,2.750483205992979
6.0,20.0,301.65,15.0,4.1579934014175657e-5,2.950971512793492
7.0,1.0,294.65,15.0,6.179022838942175e-11,0.572124868159042
7.0,2.0,301.65,15.0,4.640954285681201e-5,1.562375033639334
