fw,step,temp,richness,stability,biomass
1.0,1.0,313.65,16.0,4.707595959503058e-8,0.38242940061734343
1.0,2.0,312.65,8.0,1.389431826737091e-15,1.385332198684517
1.0,3.0,313.65,8.0,5.198815915711592e-12,1.274319690433971
1.0,4.0,312.65,8.0,3.539974647602728e-12,1.3859587434232874
1.0,5.0,313.65,8.0,5.198815915711592e-12,1.274319690433971
1.0,6.0,312.65,8.0,3.539974647602728e-12,1.3859587434232874
1.0,7.0,313.65,8.0,5.198815915711592e-12,1.274319690433971
1.0,8.0,312.65,8.0,3.539974647602728e-12,1.3859587434232874
1.0,9.0,313.65,8.0,5.198815915711592e-12,1.274319690433971
1.0,10.0,312.65,8.0,3.539974647602728e-12,1.3859587434232874
1.0,11.0,313.65,8.0,5.198815915711592e-12,1.274319690433971
1.0,12.0,312.65,8.0,3.539974647602728e-12,1.3859587434232874
1.0,13.0,313.65,8.0,5.198815915711592e-12,1.274319690433971
1.0,14.0,312.65,8.0,3.539974647602728e-12,1.3859587434232874
1.0,15.0,313.65,8.0,5.198815915711592e-12,1.274319690433971
1.0,16.0,312.65,8.0,3.539974647602728e-12,1.3859587434232874
1.0,17.0,313.65,8.0,5.198815915711592e-12,1.274319690433971
1.0,18.0,312.65,8.0,3.539974647602728e-12,1.3859587434232874
1.0,19.0,313.65,8.0,5.198815915711592e-12,1.274319690433971
1.0,20.0,312.65,8.0,3.539974647602728e-12,1.3859587434232874
2.0,1.0,313.65,22.0,4.736437142175813e-10,0.6324746703140106
2.0,2.0,312.65,13.0,9.860210539151985e-16,2.251373647072748
2.0,3.0,313.65,13.0,5.198818396016369e-12,2.070769496955203
2.0,4.0,312.65,13.0,3.539972607301788e-12,2.252182958062842
2.0,5.0,313.65,13.0,5.198818396016369e-12,2.070769496955203
2.0,6.0,312.65,13.0,3.539972607301788e-12,2.252182958062842
2.0,7.0,313.65,13.0,5.198818396016369e-12,2.070769496955203
2.0,8.0,312.65,13.0,3.539972607301788e-12,2.252182958062842
2.0,9.0,313.65,13.0,5.198818396016369e-12,2.070769496955203
2.0,10.0,312.65,13.0,3.539972607301788e-12,2.252182958062842
2.0,11.0,313.65,13.0,5.198818396016369e-12,2.070769496955203
2.0,12.0,312.65,13.0,3.539972607301788e-12,2.252182958062842
2.0,13.0,313.65,13.0,5.198818396016369e-12,2.070769496955203
2.0,14.0,312.65,13.0,3.539972607301788e-12,2.252182958062842
2.0,15.0,313.65,13.0,5.198818396016369e-12,2.070769496955203
2.0,16.0,312.65,13.0,3.539972607301788e-12,2.252182958062842
2.0,17.0,313.65,13.0,5.198818396016369e-12,2.070769496955203
2.0,18.0,312.65,13.0,3.539972607301788e-12,2.252182958062842
2.0,19.0,313.65,13.0,5.198818396016369e-12,2.070769496955203
2.0,20.0,312.65,13.0,3.539972607301788e-12,2.252182958062842
3.0,1.0,313.65,14.0,5.899987117367239e-17,0.2742049877014662
3.0,2.0,312.65,6.0,1.1278028304304934e-15,1.0389766102914628
3.0,3.0,313.65,6.0,5.19881677628284e-12,0.9557397678254782
3.0,4.0,312.65,6.0,3.5399749770951422e-12,1.0394690575674657
