Column1
"200×6 DataFrame
 Row │ fw    step  temp     richness  stability    biomass
     │ Any   Any   Any      Any       Any          Any
─────┼──────────────────────────────────────────────────────
   1 │ 1.0   1.0   297.075  20.0      1.98072e-6   0.436862
   2 │ 1.0   2.0   292.336  19.0      2.46694e-7   2.66636
   3 │ 1.0   3.0   293.441  19.0      6.97863e-9   2.74903
   4 │ 1.0   4.0   296.557  18.0      0.000361228  2.96499
   5 │ 1.0   5.0   299.723  18.0      1.00662e-10  2.91282
   6 │ 1.0   6.0   300.603  18.0      2.63375e-10  2.92036
   7 │ 1.0   7.0   299.7    17.0      4.34556e-10  2.91252
   8 │ 1.0   8.0   297.952  16.0      0.000403833  2.79662
   9 │ 1.0   9.0   303.279  16.0      2.89502e-11  2.88394
  10 │ 1.0   10.0  303.772  16.0      2.55426e-11  2.87865
  11 │ 1.0   11.0  308.834  15.0      5.55894e-13  2.45675
  12 │ 1.0   12.0  307.108  15.0      5.54455e-12  2.68106
  13 │ 1.0   13.0  307.188  15.0      1.78986e-12  2.67282
  14 │ 1.0   14.0  309.282  15.0      2.9234e-11   2.37933
  15 │ 1.0   15.0  302.9    15.0      2.04464e-11  2.9006
  16 │ 1.0   16.0  307.769  15.0      2.64306e-12  2.60753
  17 │ 1.0   17.0  314.055  10.0      1.73065e-15  1.54074
  18 │ 1.0   18.0  313.57   10.0      3.82592e-12  1.60355
  19 │ 1.0   19.0  312.641  10.0      3.52805e-12  1.7338
  20 │ 1.0   20.0  313.638  10.0      5.20251e-12  1.59455
  21 │ 2.0   1.0   297.075  28.0      2.51536e-5   2.73578
  22 │ 2.0   2.0   292.336  26.0      7.26175e-7   4.67899
  23 │ 2.0   3.0   293.441  26.0      3.137e-10    4.60079
  24 │ 2.0   4.0   296.557  26.0      8.5484e-5    4.93125
  25 │ 2.0   5.0   299.723  26.0      5.75875e-5   5.04411
  26 │ 2.0   6.0   300.603  26.0      3.28773e-10  5.01341
  27 │ 2.0   7.0   299.7    26.0      5.70942e-5   5.04489
  28 │ 2.0   8.0   297.952  26.0      7.21961e-5   5.01849
  29 │ 2.0   9.0   303.279  26.0      1.74044e-10  4.68458
  30 │ 2.0   10.0  303.772  26.0      1.48474e-9   4.57865
  31 │ 2.0   11.0  308.834  21.0      2.46825e-16  3.14651
  32 │ 2.0   12.0  307.108  21.0      1.00946e-11  3.57632
  33 │ 2.0   13.0  307.188  21.0      9.0763e-12   3.55613
  34 │ 2.0   14.0  309.282  21.0      1.16863e-11  3.03261
  35 │ 2.0   15.0  302.9    21.0      1.43732e-11  4.74989
  36 │ 2.0   16.0  307.769  21.0      9.34002e-12  3.41058
  37 │ 2.0   17.0  314.055  13.0      1.77502e-15  2.00235
  38 │ 2.0   18.0  313.57   13.0      3.82592e-12  2.08462
  39 │ 2.0   19.0  312.641  13.0      3.52805e-12  2.25394
  40 │ 2.0   20.0  313.638  13.0      5.20251e-12  2.07291
  41 │ 3.0   1.0   297.075  15.0      0.000101938  0.565089
  42 │ 3.0   2.0   292.336  15.0      4.42742e-7   1.41023
  43 │ 3.0   3.0   293.441  15.0      4.51211e-7   1.47002
  44 │ 3.0   4.0   296.557  15.0      0.000274535  1.62355
  45 │ 3.0   5.0   299.723  15.0      0.000188375  1.74892
  46 │ 3.0   6.0   300.603  15.0      0.000158368  1.77348
  47 │ 3.0   7.0   299.7    15.0      0.000183648  1.74833
  48 │ 3.0   8.0   297.952  15.0      0.000236197  1.68456
  49 │ 3.0   9.0   303.279  15.0      2.73832e-9   1.80202
  50 │ 3.0   10.0  303.772  15.0      1.05613e-10  1.79749
  51 │ 3.0   11.0  308.834  13.0      2.96505e-9   1.46555
  52 │ 3.0   12.0  307.108  13.0      7.7931e-10   1.62517
  53 │ 3.0   13.0  307.188  13.0      1.92282e-10  1.6185
  54 │ 3.0   14.0  309.282  13.0      6.37875e-11  1.41659
  55 │ 3.0   15.0  302.9    13.0      4.5361e-10   1.91838
  56 │ 3.0   16.0  307.769  13.0      8.2667e-13   1.5683
  57 │ 3.0   17.0  314.055  6.0       1.52607e-15  0.924333
  58 │ 3.0   18.0  313.57   6.0       3.82592e-12  0.96213
  59 │ 3.0   19.0  312.641  6.0       3.52805e-12  1.04028
  60 │ 3.0   20.0  313.638  6.0       5.20251e-12  0.95673
  61 │ 4.0   1.0   297.075  16.0      0.000710745  0.643926
  62 │ 4.0   2.0   292.336  16.0      8.25321e-10  2.3655
  63 │ 4.0   3.0   293.441  16.0      0.000240879  2.44809
  64 │ 4.0   4.0   296.557  15.0      0.000169765  2.62573
  65 │ 4.0   5.0   299.723  15.0      0.000155955  2.63022
  66 │ 4.0   6.0   300.603  15.0      1.85866e-9   2.63849
  67 │ 4.0   7.0   299.7    15.0      0.000152485  2.63002
  68 │ 4.0   8.0   297.952  15.0      0.00013717   2.58131
  69 │ 4.0   9.0   303.279  15.0      3.52484e-12  2.57654
  70 │ 4.0   10.0  303.772  15.0      4.41463e-12  2.54811
  71 │ 4.0   11.0  308.834  12.0      1.45982e-15  1.94561
  72 │ 4.0   12.0  307.108  12.0      9.72863e-12  2.18264
  73 │ 4.0   13.0  307.188  12.0      7.45711e-12  2.17211
  74 │ 4.0   14.0  309.282  12.0      1.80214e-11  1.87831
  75 │ 4.0   15.0  302.9    12.0      1.38027e-11  2.72738
  76 │ 4.0   16.0  307.769  12.0      7.55661e-12  2.09466
  77 │ 4.0   17.0  314.055  8.0       1.86886e-15  1.23234
  78 │ 4.0   18.0  313.57   8.0       3.82592e-12  1.28284
  79 │ 4.0   19.0  312.641  8.0       3.52805e-12  1.38704
  80 │ 4.0   20.0  313.638  8.0       5.20251e-12  1.27564
  81 │ 5.0   1.0   297.075  18.0      0.00119704   0.795375
  82 │ 5.0   2.0   292.336  18.0      1.85034e-9   2.35817
  83 │ 5.0   3.0   293.441  17.0      0.000247341  2.41149
  84 │ 5.0   4.0   296.557  17.0      0.000139643  2.49437
  85 │ 5.0   5.0   299.723  17.0      6.86597e-5   2.53158
  86 │ 5.0   6.0   300.603  17.0      5.68635e-5   2.50854
  87 │ 5.0   7.0   299.7    17.0      1.50754e-7   2.53212
  88 │ 5.0   8.0   297.952  17.0      0.000104512  2.53195
  89 │ 5.0   9.0   303.279  15.0      5.90363e-13  2.33576
  90 │ 5.0   10.0  303.772  15.0      4.414e-12    2.26717
  91 │ 5.0   11.0  308.834  15.0      5.18153e-9   1.71474
  92 │ 5.0   12.0  307.108  15.0      7.04239e-10  1.9373
  93 │ 5.0   13.0  307.188  15.0      4.20762e-10  1.92758
  94 │ 5.0   14.0  309.282  14.0      1.30947e-8   1.65539
  95 │ 5.0   15.0  302.9    14.0      4.56514e-9   2.19572
  96 │ 5.0   16.0  307.769  14.0      4.08566e-11  1.82878
  97 │ 5.0   17.0  314.055  7.0       5.29738e-16  1.07841
  98 │ 5.0   18.0  313.57   7.0       3.82592e-12  1.12249
  99 │ 5.0   19.0  312.641  7.0       3.52805e-12  1.21366
 100 │ 5.0   20.0  313.638  7.0       5.20251e-12  1.11618
 101 │ 6.0   1.0   297.075  18.0      1.84789e-7   0.631041
 102 │ 6.0   2.0   292.336  18.0      2.98314e-8   3.0497
 103 │ 6.0   3.0   293.441  18.0      1.06651e-8   3.02
 104 │ 6.0   4.0   296.557  17.0      4.71513e-9   2.95207
 105 │ 6.0   5.0   299.723  17.0      2.00231e-9   2.80859
 106 │ 6.0   6.0   300.603  17.0      6.90414e-10  2.79574
 107 │ 6.0   7.0   299.7    17.0      8.13176e-10  2.80874
 108 │ 6.0   8.0   297.952  17.0      4.31781e-10  2.82608
 109 │ 6.0   9.0   303.279  17.0      1.8677e-10   2.71933
 110 │ 6.0   10.0  303.772  17.0      1.12708e-10  2.69605
 111 │ 6.0   11.0  308.834  16.0      3.34369e-12  2.20413
 112 │ 6.0   12.0  307.108  16.0      1.66609e-11  2.42595
 113 │ 6.0   13.0  307.188  16.0      2.70356e-12  2.41717
