fw,step,temp,richness,stability,biomass
1.0,1.0,283.15,25.0,0.008706651795580346,3.7708521029339175
2.0,1.0,283.15,30.0,4.809786412797864e-5,1.6171491492330714
3.0,1.0,283.15,26.0,0.00021433795773708283,0.45936873228961106
4.0,1.0,283.15,27.0,0.006406578761065719,0.6232662035069676
5.0,1.0,283.15,25.0,2.8960209601481032e-5,9.196820482401742
6.0,1.0,283.15,28.0,2.6089586840278407e-6,2.8732734678815475
7.0,1.0,283.15,23.0,1.0076205922333874e-5,2.593205771170921
8.0,1.0,283.15,29.0,0.003620701658842469,2.7783553411972295
9.0,1.0,283.15,28.0,0.008858548659066191,0.5798592651266505
10.0,1.0,283.15,21.0,0.00023958072522982618,2.620752544413667
11.0,1.0,283.15,30.0,0.0003229034335839482,0.9483945627698153
12.0,1.0,283.15,28.0,0.00350727021736224,3.747189478071348
13.0,1.0,283.15,21.0,0.000260456868978561,0.483530174279708
14.0,1.0,283.15,26.0,0.0006871378467137769,1.9465148153114327
15.0,1.0,283.15,30.0,0.007209562828304909,0.9416407099738017
16.0,1.0,283.15,28.0,5.969263945089015e-5,0.8794571432905864
17.0,1.0,283.15,27.0,0.0016917277641579091,0.8690800726319425
18.0,1.0,283.15,28.0,0.00034432712252766793,0.3585082519535675
19.0,1.0,283.15,28.0,0.0005632566261201263,1.7403224594420519
20.0,1.0,283.15,22.0,3.219224110972715e-5,0.8966439852774737
21.0,1.0,283.15,27.0,6.220058555980139e-5,1.2053615560799318
22.0,1.0,283.15,26.0,0.000328561684150575,0.9398062321538468
23.0,1.0,283.15,23.0,0.000385432520629721,1.3233233447772905
24.0,1.0,283.15,26.0,7.797257609966857e-5,0.7783983650930162
25.0,1.0,283.15,27.0,0.0007212578894434614,2.7725207685897266
