fw,step,temp,richness,stability,biomass
1.0,1.0,283.4623566749669,25.0,0.01127107221702339,3.514430515117069
1.0,2.0,286.90783848232076,23.0,2.0480455797880163e-6,2.4073279715380376
1.0,3.0,285.41949487646895,23.0,0.00037127647421794126,2.1724574092066846
1.0,4.0,286.47563225765947,23.0,0.00035454734130579144,2.266135551423201
1.0,5.0,290.96635674895265,23.0,5.170140870809936e-7,2.6515467854686627
1.0,6.0,292.1302414666281,23.0,3.765507823426789e-8,2.737417704159275
1.0,7.0,290.7378443171794,23.0,7.217608252689684e-6,2.634641211334332
1.0,8.0,292.94563146933757,23.0,4.4535224372617384e-8,2.7901720091729763
1.0,9.0,296.02717607731955,23.0,0.00019737111917328184,2.910556526895259
1.0,10.0,299.289955293394,20.0,4.558683737621361e-9,2.844468765933914
1.0,11.0,298.06651155670625,20.0,0.00013576465632015675,2.841874392705057
1.0,12.0,304.4787430227664,17.0,2.329808008022729e-10,2.46927706769165
1.0,13.0,302.36582801812034,17.0,2.69161171750234e-9,2.6424032251506144
1.0,14.0,300.0368708738612,17.0,3.5280551078158745e-10,2.785091282889981
1.0,15.0,307.35525118645097,17.0,1.3923366217256663e-8,2.153435906865369
1.0,16.0,309.67822892086957,15.0,1.8513591047252277e-7,1.8329243603965018
1.0,17.0,309.6390331257652,15.0,2.105897953939368e-8,1.838941330330496
1.0,18.0,309.0111525218848,15.0,4.363057698128326e-9,1.9329518427884067
1.0,19.0,311.8456249581516,8.0,1.4878485715871875e-15,1.484225685223152
1.0,20.0,301.9849236561026,8.0,6.9059816258728465e-12,3.5129881632166606
2.0,1.0,283.4623566749669,30.0,4.129273806889857e-5,1.6372356263301777
2.0,2.0,286.90783848232076,28.0,6.56974090288937e-10,5.486828895022339
2.0,3.0,285.41949487646895,28.0,1.6409586620849703e-8,5.3511299224542315
2.0,4.0,286.47563225765947,28.0,1.9182240339955203e-10,5.359187304734969
2.0,5.0,290.96635674895265,28.0,4.502435587624431e-9,5.658916004887571
2.0,6.0,292.1302414666281,27.0,2.2736533341255729e-10,5.744182661345563
2.0,7.0,290.7378443171794,27.0,2.0282757404535987e-7,5.445206412913177
2.0,8.0,292.94563146933757,27.0,1.8728601524121598e-11,5.601362239969827
2.0,9.0,296.02717607731955,27.0,7.09627842552607e-5,5.649109402535611
2.0,10.0,299.289955293394,27.0,9.172689026034422e-11,5.440335870676672
2.0,11.0,298.06651155670625,27.0,3.455753519761177e-11,5.549898772685303
2.0,12.0,304.4787430227664,26.0,2.0090586839933426e-8,4.411528754696906
2.0,13.0,302.36582801812034,26.0,3.3975912444753845e-12,4.910421395935651
2.0,14.0,300.0368708738612,26.0,1.0108019361725322e-11,5.263295450925108
2.0,15.0,307.35525118645097,22.0,1.3908920814516734e-5,3.517922468540397
2.0,16.0,309.67822892086957,21.0,1.1061275726398485e-11,2.9325519840535037
2.0,17.0,309.6390331257652,21.0,1.3176840740581358e-11,2.9421786409165818
2.0,18.0,309.0111525218848,21.0,2.0117950300616017e-12,3.1001642897040558
2.0,19.0,311.8456249581516,13.0,1.0886981973254342e-15,2.411255193392887
2.0,20.0,301.9849236561026,13.0,6.905984024664197e-12,5.708605765227073
3.0,1.0,283.4623566749669,26.0,0.00017467613235324045,0.4591417090805277
3.0,2.0,286.90783848232076,21.0,0.00031503661206263894,2.362040057542271
3.0,3.0,285.41949487646895,21.0,0.00035659168481311124,1.8863132426588725
3.0,4.0,286.47563225765947,21.0,0.00034205105716936436,1.9665967958504993
3.0,5.0,290.96635674895265,21.0,7.764303369300495e-11,2.2932832112793453
3.0,6.0,292.1302414666281,21.0,1.7502296713643816e-10,2.3686513279211967
3.0,7.0,290.7378443171794,21.0,0.00028450586467855657,2.277790861173016
3.0,8.0,292.94563146933757,21.0,4.988408889751322e-9,2.417431206246748
3.0,9.0,296.02717607731955,21.0,0.00014810549247639023,2.556210503896628
3.0,10.0,299.289955293394,21.0,9.880744431501904e-5,2.5694317246661074
3.0,11.0,298.06651155670625,21.0,0.00011444725541687504,2.5855426155465815
3.0,12.0,304.4787430227664,19.0,3.515917188462259e-7,2.2096152895316026
3.0,13.0,302.36582801812034,19.0,1.1057142390307609e-8,2.3010279120870423
3.0,14.0,300.0368708738612,19.0,9.490564664639733e-5,2.3640534663792976
3.0,15.0,307.35525118645097,16.0,6.019108253807617e-15,1.8739949970654413
