fw,step,temp,richness,stability,biomass
1.0,1.0,293.15,20.0,1.4758357297508278e-5,0.5172004063120352
1.0,2.0,294.15,19.0,2.0328882373134863e-8,2.803759786800324
1.0,3.0,295.15,18.0,0.0003883693863588171,2.8761015280100555
1.0,4.0,296.15,18.0,0.00016038334910491265,2.7701636042930193
1.0,5.0,297.15,17.0,0.00044106264264443955,2.8245923150699213
1.0,6.0,298.15,16.0,0.0003929033466571657,2.8069542740221083
1.0,7.0,299.15,16.0,0.0003613111429520653,2.76661692602097
1.0,8.0,300.15,16.0,0.00030397631890569115,2.816035910795586
1.0,9.0,301.15,16.0,0.0002482350855644382,2.8540235915298204
1.0,10.0,302.15,16.0,0.0001914675824174838,2.877885017334991
1.0,11.0,303.15,16.0,1.416394841012688e-11,2.884605081389706
1.0,12.0,304.15,16.0,1.3910242149562998e-11,2.8706751375964177
1.0,13.0,305.15,16.0,5.821905176083115e-11,2.8319943932264486
1.0,14.0,306.15,16.0,1.1173220484940192e-7,2.764350288332707
1.0,15.0,307.15,15.0,6.825943622405733e-13,2.676701729977198
1.0,16.0,308.15,15.0,2.7163459331518354e-12,2.558543425481372
1.0,17.0,309.15,15.0,6.55551119990203e-12,2.402925461953368
1.0,18.0,310.15,15.0,4.211330493388318e-10,2.2022691964867485
1.0,19.0,311.15,10.0,1.0599407174869755e-13,1.9685231483727579
1.0,20.0,312.15,10.0,5.321962749594245e-12,1.8072310363123414
1.0,21.0,313.15,10.0,5.234300559153522e-12,1.6611357013195924
2.0,1.0,293.15,29.0,2.828854231919868e-5,2.421783704636651
2.0,2.0,294.15,28.0,9.609209479840831e-5,6.062545942412629
2.0,3.0,295.15,28.0,3.0335151284394894e-10,5.963293689293309
2.0,4.0,296.15,27.0,4.641053384710531e-11,5.930645200455675
2.0,5.0,297.15,27.0,1.7969914061856572e-11,5.701065275786726
2.0,6.0,298.15,27.0,8.94776576143607e-12,5.618599412169362
2.0,7.0,299.15,27.0,3.975271616958905e-11,5.508378840975628
2.0,8.0,300.15,27.0,2.701029842780688e-11,5.370031093311629
2.0,9.0,301.15,27.0,1.7470952506399577e-10,5.201402231105185
2.0,10.0,302.15,27.0,1.8179716436107542e-11,4.9980984721030755
2.0,11.0,303.15,27.0,1.1061886911314148e-9,4.754222450528799
2.0,12.0,304.15,26.0,2.5988959927134823e-10,4.481109128872399
2.0,13.0,305.15,26.0,1.7268342595304188e-10,4.193920300388712
2.0,14.0,306.15,26.0,1.1380404561381711e-7,3.8990978141181576
2.0,15.0,307.15,25.0,2.0332914196602576e-5,3.582127190582208
2.0,16.0,308.15,21.0,1.5587001421556033e-15,3.3153845478272146
2.0,17.0,309.15,21.0,4.32658606838714e-12,3.0655703683231716
2.0,18.0,310.15,21.0,1.8679280893768044e-10,2.811892175334819
2.0,19.0,311.15,13.0,1.493177734655726e-13,2.557983303378153
2.0,20.0,312.15,13.0,5.321961030035919e-12,2.349400347206043
2.0,21.0,313.15,13.0,5.2343001155083974e-12,2.15947641171547
3.0,1.0,293.15,18.0,0.00011296073627570469,0.5281933461066712
3.0,2.0,294.15,18.0,4.5442234921754514e-10,2.0097405211870707
3.0,3.0,295.15,18.0,0.00024336655008156007,2.092180921456733
3.0,4.0,296.15,18.0,0.000219885414081172,2.1451495147846553
3.0,5.0,297.15,18.0,0.0001909552304623524,2.1917812113537907
3.0,6.0,298.15,18.0,0.00015961551902616032,2.2306185693927087
3.0,7.0,299.15,18.0,0.000139236306081802,2.2599962471469186
3.0,8.0,300.15,18.0,0.00011630256376288208,2.278029009786098
3.0,9.0,301.15,18.0,9.590705523474481e-5,2.2825481843432978
3.0,10.0,302.15,18.0,1.576858903670669e-11,2.2710410051828287
3.0,11.0,303.15,18.0,1.0546287634353517e-10,2.2406799316237453
3.0,12.0,304.15,18.0,7.567035980974265e-11,2.188840295245171
3.0,13.0,305.15,18.0,6.00124919476024e-12,2.1145449932467284
3.0,14.0,306.15,18.0,1.351559769349498e-9,2.0198902106608236
3.0,15.0,307.15,17.0,7.686058687586361e-11,1.9095373877881403
3.0,16.0,308.15,16.0,8.878024491967139e-11,1.809085870194123
3.0,17.0,309.15,16.0,5.493918887328858e-10,1.682015824038837
3.0,18.0,310.15,15.0,1.6008595871243801e-10,1.5395704178070169
3.0,19.0,311.15,7.0,1.5895769563578938e-13,1.3779235128327398
3.0,20.0,312.15,7.0,5.321967071679487e-12,1.2650617254186387
3.0,21.0,313.15,7.0,5.234301987193356e-12,1.1627949909237147
4.0,1.0,293.15,21.0,0.0017014774197467468,0.6256959734365454
4.0,2.0,294.15,19.0,0.00013832103715978074,2.610922937126504
4.0,3.0,295.15,19.0,0.00014794255988712687,2.6828345826097615
4.0,4.0,296.15,18.0,0.0001223696063366337,2.7346177636118
4.0,5.0,297.15,18.0,0.00010959536465425492,2.672635314935803
4.0,6.0,298.15,18.0,0.0001031758940332525,2.710044540338865
4.0,7.0,299.15,17.0,0.00010639426703768927,2.7346029642834
4.0,8.0,300.15,17.0,8.578986560702791e-5,2.6039040620358436
4.0,9.0,301.15,17.0,7.291247089139793e-5,2.603659225681388
4.0,10.0,302.15,17.0,1.9298353008907629e-10,2.585389102501426
4.0,11.0,303.15,17.0,2.999232340602248e-10,2.5465030218799227
4.0,12.0,304.15,17.0,5.7297782314647257e-11,2.4843145043406505
4.0,13.0,305.15,17.0,1.732823146267561e-11,2.395760480736848
