fw,step,temp,richness,stability,biomass
1.0,1.0,298.65,18.0,1.358299165151986e-6,0.41730054783851644
1.0,2.0,297.65,17.0,2.6774898807508772e-8,3.383241599249381
1.0,3.0,298.65,17.0,5.229120094470885e-9,3.3072037068762836
1.0,4.0,297.65,17.0,1.9485326111537506e-9,3.4048676971474294
1.0,5.0,298.65,17.0,8.228291614230539e-10,3.30720290534272
1.0,6.0,297.65,16.0,3.264978316658787e-10,3.4048673906114058
1.0,7.0,298.65,15.0,1.1872776269645998e-9,3.2525094975144633
1.0,8.0,297.65,15.0,1.0110094798947594e-9,3.2322885188889323
1.0,9.0,298.65,15.0,1.0643401644412669e-9,3.1587587405239455
1.0,10.0,297.65,15.0,1.1616848105694909e-9,3.232179998979537
1.0,11.0,298.65,15.0,1.0090742415304868e-9,3.15875872362706
1.0,12.0,297.65,15.0,1.200692631493096e-9,3.232179985181162
1.0,13.0,298.65,15.0,9.838285265452996e-10,3.1587587146168783
1.0,14.0,297.65,15.0,1.2199469192961053e-9,3.232179977349413
1.0,15.0,298.65,15.0,9.706526803103601e-10,3.158758709263264
1.0,16.0,297.65,15.0,1.2305071854077518e-9,3.23217997248464
1.0,17.0,298.65,15.0,9.630997409384217e-10,3.1587587058187174
1.0,18.0,297.65,15.0,1.2367789567759468e-9,3.232179969255456
1.0,19.0,298.65,15.0,9.584653324432897e-10,3.1587587034696103
1.0,20.0,297.65,15.0,1.2407290370649504e-9,3.232179966998852
2.0,1.0,298.65,26.0,2.2483475100989093e-5,2.829462783665689
2.0,2.0,297.65,25.0,5.079419994487208e-5,5.081229359409377
2.0,3.0,298.65,25.0,3.435838843249428e-5,5.011099600493439
2.0,4.0,297.65,25.0,4.1088966442898105e-5,4.970759216767557
2.0,5.0,298.65,25.0,3.392679258033677e-5,5.0110735307835395
2.0,6.0,297.65,25.0,4.098232965402639e-5,4.970759198901067
2.0,7.0,298.65,25.0,3.393051859848315e-5,5.011073519568024
2.0,8.0,297.65,25.0,4.098245456054619e-5,4.970759198993345
2.0,9.0,298.65,25.0,3.3930513462858334e-5,5.011073519580428
2.0,10.0,297.65,25.0,4.0982439767888854e-5,4.970759198993539
2.0,11.0,298.65,25.0,3.393051547674681e-5,5.01107351957921
2.0,12.0,297.65,25.0,4.098241595961403e-5,4.9707591989947195
2.0,13.0,298.65,25.0,3.3930515083335564e-5,5.011073519578158
2.0,14.0,297.65,25.0,4.098244566942739e-5,4.970759198993666
2.0,15.0,298.65,25.0,3.393051262228609e-5,5.0110735195795355
2.0,16.0,297.65,25.0,4.0982455931553675e-5,4.9707591989936075
2.0,17.0,298.65,25.0,3.3930514299332324e-5,5.01107351957976
2.0,18.0,297.65,25.0,4.0982449495965895e-5,4.970759198993897
2.0,19.0,298.65,25.0,3.3930514627268645e-5,5.011073519580141
2.0,20.0,297.65,25.0,4.0982447929356816e-5,4.9707591989935285
3.0,1.0,298.65,15.0,9.738188792671011e-5,0.5726303357503396
3.0,2.0,297.65,15.0,0.00023706552444937714,1.6697563337148518
3.0,3.0,298.65,15.0,0.0002143183829875209,1.711942266198829
3.0,4.0,297.65,15.0,0.00024276378194484682,1.6719698271240742
3.0,5.0,298.65,15.0,0.00021448115398059613,1.7119422649761267
3.0,6.0,297.65,15.0,0.00024276121470772388,1.6719698144262665
3.0,7.0,298.65,15.0,0.00021448116956754954,1.7119422652138039
3.0,8.0,297.65,15.0,0.0002427612517502016,1.6719698144196602
3.0,9.0,298.65,15.0,0.00021448114935821637,1.711942265214261
3.0,10.0,297.65,15.0,0.00024276117365557977,1.671969814421514
3.0,11.0,298.65,15.0,0.00021448118702888674,1.7119422652131462
3.0,12.0,297.65,15.0,0.00024276117397408061,1.6719698144216812
3.0,13.0,298.65,15.0,0.00021448118700769214,1.7119422652131429
3.0,14.0,297.65,15.0,0.00024276117397441916,1.6719698144216815
3.0,15.0,298.65,15.0,0.00021448118699870134,1.7119422652131426
